,Country Name,Unemployment (%),Year
0,Afghanistan,11.1,2021
1,Albania,12.3,2021
2,Algeria,11.7,2021
3,Angola,6.9,2021
4,Argentina,9.8,2021
5,Armenia,17,2021
6,Australia,5.3,2021
7,Austria,4.7,2021
8,Azerbaijan,5.5,2021
9,Bahamas,10.4,2021
10,Bahrain,0.7,2021
11,Bangladesh,4.2,2021
12,Barbados,10.3,2021
13,Belarus,4.6,2021
14,Belgium,5.6,2021
15,Belize,6.4,2021
16,Benin,2.2,2021
17,Bhutan,2.3,2021
18,Bolivia,3.5,2021
19,Bosnia and Herzegovina,18.4,2021
20,Botswana,18.2,2021
21,Brazil,12.1,2021
22,Brunei Darussalam,9.1,2021
23,Bulgaria,4.3,2021
24,Burkina Faso,6.3,2021
25,Burma,1.6,2021
26,Burundi,1.4,2021
27,Cambodia,0.7,2021
28,Cameroon,3.4,2021
29,Canada,5.6,2021
30,Cabo Verde,12.3,2021
31,Central African Republic,3.7,2021
32,Chad,1.9,2021
33,Chile,7.1,2021
34,China,4.3,2021
35,Colombia,9.7,2021
36,Comoros,4.3,2021
37,"Congo, Democratic Republic of the Congo",4.2,2021
38,"Congo, Republic of",9.5,2021
39,Costa Rica,11.9,2021
40,Côte d'Ivoire,3.3,2021
41,Croatia,6.9,2021
42,Cuba,1.6,2021
43,Cyprus,7.3,2021
44,Czech Republic,1.9,2021
45,Denmark,4.9,2021
46,Djibouti,10.3,2021
47,Dominica,,2021
48,Dominican Republic,5.9,2021
49,Ecuador,4,2021
50,Egypt,10.8,2021
51,El Salvador,4.1,2021
52,Equatorial Guinea,6.4,2021
53,Eritrea,5.1,2021
54,Estonia,5.1,2021
55,Eswatini,22.1,2021
56,Ethiopia,2.1,2021
57,Fiji,4.1,2021
58,Finland,6.6,2021
59,France,8.4,2021
60,Gabon,20,2021
61,Gambia,9.1,2021
62,Georgia,14.4,2021
63,Germany,3,2021
64,Ghana,4.3,2021
65,Greece,17.2,2021
66,Guatemala,2.5,2021
67,Guinea,4.3,2021
68,Guinea-Bissau,2.5,2021
69,Guyana,11.9,2021
70,Haiti,13.8,2021
71,Honduras,5.4,2021
72,Hungary,3.4,2021
73,Iceland,2.8,2021
74,India,5.4,2021
75,Indonesia,4.7,2021
76,Iran,11.4,2021
77,Iraq,12.8,2021
78,Ireland,4.9,2021
79,Israel,3.9,2021
80,Italy,9.9,2021
81,Jamaica,8,2021
82,Japan,2.3,2021
83,Jordan,14.7,2021
84,Kazakhstan,4.6,2021
85,Kenya,2.6,2021
86,Kiribati,,2021
87,"Korea, North ",25.6,2021
88,"Korea, South",4.2,2021
89,Kosovo,25.9,2021
90,Kuwait,2.2,2021
91,Kyrgyz Republic,6.3,2021
92,Laos,0.6,2021
93,Latvia,6.5,2021
94,Lebanon,6.2,2021
95,Lesotho,23.4,2021
96,Liberia,2.8,2021
97,Libya,,2021
98,Liechtenstein,1.7,2021
99,Lithuania,6.4,2021
100,Luxembourg,5.4,2021
101,North Macedonia,17.8,2021
102,Madagascar,1.8,2021
103,Malawi,5.7,2021
104,Malaysia,3.3,2021
105,Maldives,6.1,2021
106,Mali,7.2,2021
107,Malta,3.5,2021
108,Mauritania,9.6,2021
109,Mauritius,6.7,2021
110,Mexico,3.4,2021
111,Micronesia,16.2,2021
112,Moldova,5.5,2021
113,Mongolia,6,2021
114,Montenegro,14.9,2021
115,Morocco,9,2021
116,Mozambique,3.2,2021
117,Namibia,20.3,2021
118,Nepal,1.4,2021
119,Netherlands,3.2,2021
120,New Zealand,4.1,2021
121,Nicaragua,6.8,2021
122,Niger,0.5,2021
123,Nigeria,8.1,2021
124,Norway,3.4,2021
125,Oman,2.7,2021
126,Pakistan,4.5,2021
127,Panama,3.9,2021
128,Papua New Guinea,2.5,2021
129,Paraguay,4.8,2021
130,Peru,3.3,2021
131,Philippines,2.2,2021
132,Poland,3.5,2021
133,Portugal,6.3,2021
134,Qatar,0.1,2021
135,Romania,4,2021
136,Russia,4.6,2021
137,Rwanda,1,2021
138,Saint Lucia,20.7,2021
139,Saint Vincent and the Grenadines,18.9,2021
140,Samoa,8.4,2021
141,São Tomé and Príncipe,13.4,2021
142,Saudi Arabia,5.9,2021
143,Senegal,6.6,2021
144,Serbia,12.7,2021
145,Seychelles,,2021
146,Sierra Leone,4.4,2021
147,Singapore,4.1,2021
148,Slovakia,5.6,2021
149,Slovenia,4.2,2021
150,Solomon Islands,0.6,2021
151,Somalia,11.4,2021
152,South Africa,28.2,2021
153,Spain,14,2021
154,Sri Lanka,4.2,2021
155,Sudan,16.5,2021
156,Suriname,7.3,2021
157,Sweden,6.5,2021
158,Switzerland,4.6,2021
159,Syria,43.5,2021
160,Taiwan ,3.7,2021
161,Tajikistan,11,2021
162,Tanzania,2,2021
163,Thailand,0.8,2021
164,Timor-Leste,4.5,2021
165,Togo,2,2021
166,Tonga,1.1,2021
167,Trinidad and Tobago,2.7,2021
168,Tunisia,16,2021
169,Turkey,13.5,2021
170,Turkmenistan,3.9,2021
171,Uganda,1.8,2021
172,Ukraine,8.9,2021
173,United Arab Emirates,2.4,2021
174,United Kingdom,3.9,2021
175,United States,3.7,2021
176,Uruguay,8.7,2021
177,Uzbekistan,5.9,2021
178,Vanuatu,4.4,2021
179,Venezuela,24,2021
180,Vietnam,2,2021
181,Yemen,,2021
182,Zambia,11.4,2021
183,Zimbabwe,5,2021
